disease,download_link
NeuroBlastoma_5,https://www.dropbox.com/sh/32tbtl87lth7rwo/AAArVXYJc5CWURSrtzW5wuBpa
CRC_2,https://www.dropbox.com/sh/wd5zn9w4omx7gwe/AACjximdn1MMC1jvvu2Jx1mda
CRC_3,https://www.dropbox.com/sh/ntdrcpf3og63zgk/AADj54gAqukWwcXsWwWNFHypa
HGSOC_1,https://www.dropbox.com/sh/7kbwzls3ee1ppvj/AAAkGhx9EiBjc6zjfXAy6-Mfa
HGSOC_2,https://www.dropbox.com/sh/tw35kiv858a6ox4/AACsq-nYObv7_VztLjauh7Uua
Ovarian_1,https://www.dropbox.com/sh/fwyd31g8d12dh4y/AAAm1tRXza2qNIE-6gEgeFpCa
Melanoma_2,https://www.dropbox.com/sh/xxvj5pnwzydqrk3/AADKH3XXlruF54Lj3Z9Lm8Vta
Hemoto_1,https://www.dropbox.com/sh/h8702qijmpnfrw4/AACZRCHtWKXdZvMoRqo-3LBwa
Multiple_myeloma_1,https://www.dropbox.com/sh/3hkfwhnu1tei7q2/AABLvPIiGDDX3Ld-DfLv-bDpa
CLL,https://www.dropbox.com/sh/n5pletpix4g2kdv/AABWkgASSL0qQoy8rPO_XL0Ja
AML_1,https://www.dropbox.com/sh/mlx746jotoesg6y/AACwuLUSOz11pGFXQdt5RAmXa
CML,https://www.dropbox.com/sh/n93vyepnb6t6a04/AAAUgRXXpTKZG5DUvIEog2Sva
Multiple_myeloma_2,https://www.dropbox.com/sh/7z7olcx4budko6q/AACRmq2sSvS95Bok43UcIJCBa
Myeloproliferative_neoplasms,https://www.dropbox.com/sh/2enlkmx1w5eoq4u/AABJpYXwgbd4_lN0q8dRgowga
AML_2,https://www.dropbox.com/sh/2k983b5yna73kk9/AABj6XAtN4LOiHJgGbFyxvOxa
Melanoma_1,https://www.dropbox.com/sh/pft3by46l4io7k4/AAAwJ6Hj2qeK54mcD6F1hGM1a
Ovarian_2,https://www.dropbox.com/sh/ihbbzd49rhrziiz/AADSl7i_Aj2jJgxNh2jWMqgya
